16-17/3/14																																																													
"time,"	position	"azimuths,"	zonal	"wind,"	meridional	"wind,"	reduced	"chisqr,"	"intensities,"	"temperatures,"	zonal	"distances,"	meridional	"distances,"	sig2noise																																														
	18.7617																																																												
	0	90	150	210	270	330	30	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50
	37.2	14.09	-66.46	-22.85	25.33	90.85	77.31	36.85	28.93	21.6	8.69	8.1	30.14	31.43	17.62	30.47	43.22	52.01	50.41	50.61	58.02	74.89	85.52	57.77	42.2	26.63	20.25	-0.3	11.5	11.45	-5.55	-1.61	-22.49	6.59	49.32	55.96	64.47	85.24	77.19	63.26	63.08	135.6	45.28	13.46	14.22	15.85	83.79	42.67	50.45	66.85	67.54	75.9	69.89	63.5	57.44	36.48	31.4	2.65	-10.41	37.96	-20.14
	0.11	83.74	56.18	-17.27	-84.12	-30.52	42.93	26.86	5.16	29.07	34.67	23.18	9.88	7.09	-6.89	-12.34	-11.82	-33.21	12.91	8.57	2.83	3.33	16.71	21.14	19.93	9.17	41.02	54.01	10.49	6.06	3.89	-9.84	-41.51	-54.48	-15.42	-40.25	-26.49	-40.5	-18.79	-6.18	1.69	57.27	19.93	-18.21	-35.91	-12.45	-87.41	-19.65	-11.87	-3.55	2.98	16.21	16.85	49.66	7.8	19.91	4.96	-0.59	-17.01	-3.74	-59.19
	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73
	1825.61	1614.45	1579.36	1596.51	1611.6	1606.66	1589.96	1275.83	1275.44	1353.18	1399.64	1431.71	1368.73	1389.68	1388.88	1405.06	1404.7	1376.2	1360.18	1321.2	1352.01	1264.99	1321.73	1316.79	1290.93	923.38	976.72	992.44	951.42	1034.67	1048.92	980.36	1008.42	1005.54	1046.4	1047.02	1071.9	1041.53	998.26	977.11	978.42	974	955.2	547.23	695.25	754.86	760.72	811	800.48	774.47	849.16	831.54	800.92	857.92	794.83	775.15	845.49	768.25	757.24	651.96	588.15
	1022.54	1023.01	1021.84	1049.14	1022.05	1023.55	1020.61	1008.42	1013.77	1015.73	1151.9	1149.17	1027.79	1024.3	1125.96	1069.25	1070.88	1070.13	1065.67	1067.89	1089.31	1024.06	1070.17	1008.54	1008.73	1051.66	969.57	1081.24	1078.41	1081.5	998.78	993.26	1039.94	1033.51	1055.33	1077.19	1063.55	1056.23	1024.74	1052.64	1004.79	999.25	1118.81	831.53	1144.85	1032.53	908.08	1041.09	1043.02	1061.44	1054.22	1023.44	1052.77	1151.09	1031.38	1287.53	1262.59	1081.69	1034.57	1031.08	1073.73
	0	0	-96126.45	-96126.42	0	96126.45	96126.44	77950.05	-0.01	-77950.07	-146498.23	-197376.55	-224448.3	-224448.3	-197376.52	-146498.2	-77950.06	0	77950.07	146498.2	197376.56	224448.31	224448.3	197376.53	146498.22	120602.91	-0.02	-120602.95	-226659.42	-305377.44	-347262.34	-347262.34	-305377.38	-226659.38	-120602.92	0	120602.93	226659.38	305377.44	347262.38	347262.34	305377.41	226659.39	166451.52	-0.02	-166451.56	-312826.66	-421470.22	-479278.19	-479278.19	-421470.16	-312826.59	-166451.53	0.01	166451.55	312826.59	421470.25	479278.22	479278.19	421470.19	312826.62
	0	110997.24	55498.6	-55498.64	-110997.24	-55498.59	55498.62	214166.09	227910.78	214166.08	174589.78	113955.35	39576.32	-39576.36	-113955.43	-174589.81	-214166.09	-227910.78	-214166.08	-174589.8	-113955.34	-39576.25	39576.3	113955.39	174589.8	331353.91	352619.44	331353.88	270122.16	176309.66	61231.77	-61231.82	-176309.78	-270122.19	-331353.91	-352619.44	-331353.88	-270122.19	-176309.64	-61231.65	61231.73	176309.72	270122.19	457321.97	486671.84	457321.94	372812.25	243335.83	84509.73	-84509.82	-243336.02	-372812.31	-457321.97	-486671.84	-457321.94	-372812.28	-243335.81	-84509.58	84509.69	243335.92	372812.28
	7738.49	5178.68	11944.68	5556.91	5285.86	7282.44	5462.25	3128.32	3121.17	2939.76	2314.66	2537.22	3023.84	3492.49	3373.11	2774.56	3381.99	3301.85	3390.91	3630.28	3262.51	2527.28	3785.32	3187.39	3882.28	1750.14	2345.86	962.29	1995.46	1776.68	2088.22	1324.09	1536.02	1670.61	1240.62	2274.2	1406.92	1718.1	1606.95	2519.33	2807.89	1621.37	1093.19	833.1	768.01	676.22	356.78	1255.73	1044.01	796.03	846.64	1153.85	716.33	844.36	980.39	946.41	722.41	959.35	928.86	1337.53	945.38
	18.8836																																																												
	0	90	150	210	270	330	30	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50
	27.71	39.4	-27.26	-15.82	45.28	121.44	91	47.95	35.6	31	21.94	24.35	12.26	-0.09	17.72	24.3	40.14	47.67	49.65	63.47	80.18	40	92.53	67.18	53.54	29.33	8.18	-4.15	-21.37	-3	-13.1	3.6	-2.27	-6.98	9.41	26.85	38.95	44.03	58.88	35.65	24.12	66.72	20.41	-13.62	6.22	-1.83	19.12	50.06	56.88	35.91	19.01	15.05	30.05	31.98	32.34	-2.34	13.64	12.14	33.13	-6.82	12.86
	7.34	81.3	56.09	-15	-34.14	-25.39	45.69	43.68	48.1	24.37	29.67	21.41	19.95	9.33	3.12	-6.04	1.39	-23.41	14.62	-0.4	-1.85	17.34	24.12	29.66	31.4	53.35	48.67	32.2	36.08	9.67	8.41	3.51	-5.09	-26.43	-33.62	-44.8	-22.03	-11.8	-12.16	3.34	4.75	31.63	10.23	-69.9	-4.75	10.97	-23.02	-29.71	-11.34	2.36	-0.15	-9.85	5.6	55.38	5.66	44.05	10.49	1.41	-1.42	-19.36	-6.91
	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92	2.92
	1790.5	1553.03	1567.05	1561.36	1625.94	1607.25	1566.06	1258.53	1307.16	1295.96	1352.2	1335.94	1392.39	1399.87	1364.88	1412.76	1467.96	1376.78	1399.21	1327.84	1357.38	1293.27	1318.42	1276.23	1232.16	983.28	938.42	904.44	978.14	1012.43	976.67	986.85	984.41	973.5	1045.79	1052.72	1070.54	1035.47	983.38	946.43	941.68	949.58	932.16	592.8	632.77	728.75	775.56	811.37	844.03	812.44	801.61	844.65	880.24	886.44	774.35	698.73	729.48	773.77	749.51	699.14	574.22
	1157.39	1014.47	1015.61	1054.51	1053.71	1069.17	1067.8	1067.02	1065.55	1088.11	1083.22	1168.29	1165.96	1161.66	1083.64	1066	1063.6	1155.72	1111.1	1116.15	1117.83	1054	1022.04	1021.89	1102.33	1097.28	1090.73	1011.01	1016.47	988.29	1014.13	1020.62	930.08	892.53	991.26	1060.84	1067.53	1065.82	1105.22	963.76	985.61	1006.09	1041.65	1238.7	1103.92	1097.57	1060.66	1277.5	1198.86	1159.73	962.06	1081.06	1086.35	1167.46	950.99	1028.41	928.88	922.23	1021	1190.77	1079.9
	0	0	-96126.45	-96126.42	0	96126.45	96126.44	77950.05	-0.01	-77950.07	-146498.23	-197376.55	-224448.3	-224448.3	-197376.52	-146498.2	-77950.06	0	77950.07	146498.2	197376.56	224448.31	224448.3	197376.53	146498.22	120602.91	-0.02	-120602.95	-226659.42	-305377.44	-347262.34	-347262.34	-305377.38	-226659.38	-120602.92	0	120602.93	226659.38	305377.44	347262.38	347262.34	305377.41	226659.39	166451.52	-0.02	-166451.56	-312826.66	-421470.22	-479278.19	-479278.19	-421470.16	-312826.59	-166451.53	0.01	166451.55	312826.59	421470.25	479278.22	479278.19	421470.19	312826.62
	0	110997.24	55498.6	-55498.64	-110997.24	-55498.59	55498.62	214166.09	227910.78	214166.08	174589.78	113955.35	39576.32	-39576.36	-113955.43	-174589.81	-214166.09	-227910.78	-214166.08	-174589.8	-113955.34	-39576.25	39576.3	113955.39	174589.8	331353.91	352619.44	331353.88	270122.16	176309.66	61231.77	-61231.82	-176309.78	-270122.19	-331353.91	-352619.44	-331353.88	-270122.19	-176309.64	-61231.65	61231.73	176309.72	270122.19	457321.97	486671.84	457321.94	372812.25	243335.83	84509.73	-84509.82	-243336.02	-372812.31	-457321.97	-486671.84	-457321.94	-372812.28	-243335.81	-84509.58	84509.69	243335.92	372812.28
	9180.14	8024.18	9791.04	6167.93	7080.8	7473.57	6998.98	2987.97	3270.84	4607.07	3529.03	3523.9	2900.21	2803.69	4540.29	2713.57	3456.6	2724.8	3864.49	4089.16	2998.49	3126.33	3462.16	3707.1	4569.74	2153.68	1750.18	1431.17	2025.85	1122.95	1737.81	1758	1457.68	1336.39	1638.04	1419.27	1696.92	1562.9	1583.11	1579.58	2249.25	2657.06	1128.54	1104.24	587.57	385.79	451.86	807.58	1047.01	916.7	962.43	1097.1	1545.03	1023.52	752.93	1227.71	1586.31	928.01	1013.59	915.9	969.08
	19.0056																																																												
	0	90	150	210	270	330	30	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50
	25.99	30.99	-16.38	-23.48	38.11	111.17	66.9	39.92	19.76	17.65	9.8	10.09	18.9	-22.29	19.57	-3.08	28.87	34.38	37.97	46.83	68.36	22.9	57.75	51.97	27.93	23.4	20.94	15.91	2.5	31.83	-2.14	6.18	21.53	14.69	35.62	43.56	40.45	56.48	73.06	35.05	55.21	61.01	45.22	6.37	0.19	0.77	-9.4	-8.04	7.68	19.1	12.4	30.69	30.1	31.4	35.25	21.89	29.55	32.3	14.4	16.6	13.01
	10.14	109.59	55.19	-10.88	-29.46	-19.55	46.51	79.42	51.14	32.26	38.03	30.09	21.5	9.1	9.47	-28.42	-0.85	-6.04	1.98	-2.69	-5.82	18.99	25.91	38.88	31.82	14.91	43.92	25.75	33.43	2.6	8.07	-6.08	-13.86	-38.33	-28.75	-43.25	-2.17	-25.64	-24.71	-1.28	6.74	25.5	34.07	33.04	-7.94	19.63	32.03	21.82	8.99	3.34	-7.75	-1.46	-8.36	-22.37	-20.55	2.01	-4.73	0.8	8.27	17.53	27.18
	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85	1.85
	1492.48	1424.88	1403.9	1437.39	1479.32	1440.64	1474.17	1136.12	1165.17	1208.69	1216.98	1269.76	1295.54	1294.82	1315.82	1325.19	1359.09	1304.1	1242.79	1245.2	1219.17	1199.37	1219.08	1204.35	1135.96	865.14	869.15	881.4	872.79	884.77	909.83	949.47	997.88	932.47	970.58	972.29	982.15	986.55	910.93	895.82	893.12	873.12	875.17	504.48	595.24	715.88	710.62	798.84	746.82	747.44	777.84	811.47	846.88	815.13	747.64	722.33	742.36	740.65	776.33	628.19	562.27
	927.72	1018.34	1005.36	1007.97	945.33	1055.16	1064.64	1009.3	1107.71	1165.31	1150.47	1146.25	1148.1	1071.55	1164.8	1155.4	1063.09	1148.11	1017.27	1017.59	1088.27	1086.32	1072.34	976.33	981.9	1130.45	1098.41	921.13	1134.18	1118.4	883.72	992.7	1197.9	1152.95	1028.22	977.32	980.76	997.59	995.08	995.87	1100.68	978.17	1113.58	1119.32	1121.14	1114.74	1119.13	1337.1	1142.1	1152.43	1217.74	1214.34	1211.42	1110.21	1108.84	1128.59	1161.4	1065.16	1148.61	1121.92	1198.59
	0	0	-96126.45	-96126.42	0	96126.45	96126.44	77950.05	-0.01	-77950.07	-146498.23	-197376.55	-224448.3	-224448.3	-197376.52	-146498.2	-77950.06	0	77950.07	146498.2	197376.56	224448.31	224448.3	197376.53	146498.22	120602.91	-0.02	-120602.95	-226659.42	-305377.44	-347262.34	-347262.34	-305377.38	-226659.38	-120602.92	0	120602.93	226659.38	305377.44	347262.38	347262.34	305377.41	226659.39	166451.52	-0.02	-166451.56	-312826.66	-421470.22	-479278.19	-479278.19	-421470.16	-312826.59	-166451.53	0.01	166451.55	312826.59	421470.25	479278.22	479278.19	421470.19	312826.62
